Year,Géographie,Industrie,Value
2018,Colombie-Britannique,Travaux de génie,6631.0
2019,Colombie-Britannique,Travaux de génie,7267.0
2007,Colombie-Britannique,Manufacturing,
2008,Colombie-Britannique,Manufacturing,
2009,Colombie-Britannique,Manufacturing,
2010,Colombie-Britannique,Manufacturing,
2011,Colombie-Britannique,Manufacturing,
2012,Colombie-Britannique,Manufacturing,4333.0
2013,Colombie-Britannique,Manufacturing,4106.0
2014,Colombie-Britannique,Manufacturing,4177.0
2015,Colombie-Britannique,Manufacturing,4508.0
2016,Colombie-Britannique,Manufacturing,4713.0
2017,Colombie-Britannique,Manufacturing,5870.0
2018,Colombie-Britannique,Manufacturing,5195.0
2019,Colombie-Britannique,Manufacturing,5457.0
2007,Colombie-Britannique,"Services professionnels, scientifiques et techniques",
2008,Colombie-Britannique,"Services professionnels, scientifiques et techniques",
2009,Colombie-Britannique,"Services professionnels, scientifiques et techniques",
2010,Colombie-Britannique,"Services professionnels, scientifiques et techniques",
2011,Colombie-Britannique,"Services professionnels, scientifiques et techniques",
2012,Colombie-Britannique,"Services professionnels, scientifiques et techniques",3759.0
2013,Colombie-Britannique,"Services professionnels, scientifiques et techniques",3731.0
2014,Colombie-Britannique,"Services professionnels, scientifiques et techniques",4076.0
2015,Colombie-Britannique,"Services professionnels, scientifiques et techniques",4630.0
2016,Colombie-Britannique,"Services professionnels, scientifiques et techniques",5094.0
2017,Colombie-Britannique,"Services professionnels, scientifiques et techniques",6005.0
2018,Colombie-Britannique,"Services professionnels, scientifiques et techniques",6224.0
2019,Colombie-Britannique,"Services professionnels, scientifiques et techniques",7335.0
2007,Colombie-Britannique,Autres industries,
2008,Colombie-Britannique,Autres industries,
2009,Colombie-Britannique,Autres industries,
2010,Colombie-Britannique,Autres industries,
2011,Colombie-Britannique,Autres industries,
2012,Colombie-Britannique,Autres industries,5713.0
2013,Colombie-Britannique,Autres industries,5530.0
2014,Colombie-Britannique,Autres industries,6109.0
2015,Colombie-Britannique,Autres industries,6292.0
2016,Colombie-Britannique,Autres industries,6698.0
2017,Colombie-Britannique,Autres industries,7120.0
2018,Colombie-Britannique,Autres industries,7479.0
2019,Colombie-Britannique,Autres industries,7421.0
2007,Yukon,"Total, toutes les industries de technologies propres",
2008,Yukon,"Total, toutes les industries de technologies propres",
2009,Yukon,"Total, toutes les industries de technologies propres",
2010,Yukon,"Total, toutes les industries de technologies propres",
2011,Yukon,"Total, toutes les industries de technologies propres",
2012,Yukon,"Total, toutes les industries de technologies propres",178.0
2013,Yukon,"Total, toutes les industries de technologies propres",151.0
2014,Yukon,"Total, toutes les industries de technologies propres",192.0
2015,Yukon,"Total, toutes les industries de technologies propres",143.0
2016,Yukon,"Total, toutes les industries de technologies propres",127.0
2017,Yukon,"Total, toutes les industries de technologies propres",131.0
2018,Yukon,"Total, toutes les industries de technologies propres",119.0
2019,Yukon,"Total, toutes les industries de technologies propres",125.0
2007,Yukon,Travaux de génie,
2008,Yukon,Travaux de génie,
2009,Yukon,Travaux de génie,
2010,Yukon,Travaux de génie,
2011,Yukon,Travaux de génie,
2012,Yukon,Travaux de génie,141.0
2013,Yukon,Travaux de génie,120.0
2014,Yukon,Travaux de génie,162.0
2015,Yukon,Travaux de génie,118.0
2016,Yukon,Travaux de génie,93.0
2017,Yukon,Travaux de génie,85.0
2018,Yukon,Travaux de génie,68.0
2019,Yukon,Travaux de génie,74.0
2007,Yukon,Manufacturing,
2008,Yukon,Manufacturing,
2009,Yukon,Manufacturing,
2010,Yukon,Manufacturing,
2011,Yukon,Manufacturing,
2012,Yukon,Manufacturing,
2013,Yukon,Manufacturing,
2014,Yukon,Manufacturing,
2015,Yukon,Manufacturing,
2016,Yukon,Manufacturing,
2017,Yukon,Manufacturing,
2018,Yukon,Manufacturing,
2019,Yukon,Manufacturing,
2007,Yukon,"Services professionnels, scientifiques et techniques",
2008,Yukon,"Services professionnels, scientifiques et techniques",
2009,Yukon,"Services professionnels, scientifiques et techniques",
2010,Yukon,"Services professionnels, scientifiques et techniques",
2011,Yukon,"Services professionnels, scientifiques et techniques",
2012,Yukon,"Services professionnels, scientifiques et techniques",
2013,Yukon,"Services professionnels, scientifiques et techniques",
2014,Yukon,"Services professionnels, scientifiques et techniques",
2015,Yukon,"Services professionnels, scientifiques et techniques",
2016,Yukon,"Services professionnels, scientifiques et techniques",
2017,Yukon,"Services professionnels, scientifiques et techniques",
2018,Yukon,"Services professionnels, scientifiques et techniques",
2019,Yukon,"Services professionnels, scientifiques et techniques",
2007,Yukon,Autres industries,
2008,Yukon,Autres industries,
2009,Yukon,Autres industries,
2010,Yukon,Autres industries,
2011,Yukon,Autres industries,
2012,Yukon,Autres industries,37.0
2013,Yukon,Autres industries,31.0
2014,Yukon,Autres industries,30.0
2015,Yukon,Autres industries,25.0
2016,Yukon,Autres industries,34.0
2017,Yukon,Autres industries,46.0
2018,Yukon,Autres industries,51.0
2019,Yukon,Autres industries,51.0
2007,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",
2008,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",
2009,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",
2010,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",
2011,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",
2012,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",101.0
2013,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",111.0
2014,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",312.0
2015,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",753.0
2016,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",589.0
2017,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",192.0
2018,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",172.0
2019,Territoires du Nord-Ouest,"Total, toutes les industries de technologies propres",184.0
2007,Territoires du Nord-Ouest,Travaux de génie,
2008,Territoires du Nord-Ouest,Travaux de génie,
2009,Territoires du Nord-Ouest,Travaux de génie,
2010,Territoires du Nord-Ouest,Travaux de génie,
2011,Territoires du Nord-Ouest,Travaux de génie,
2012,Territoires du Nord-Ouest,Travaux de génie,22.0
2013,Territoires du Nord-Ouest,Travaux de génie,20.0
2014,Territoires du Nord-Ouest,Travaux de génie,204.0
2015,Territoires du Nord-Ouest,Travaux de génie,609.0
2016,Territoires du Nord-Ouest,Travaux de génie,447.0
2017,Territoires du Nord-Ouest,Travaux de génie,85.0
2018,Territoires du Nord-Ouest,Travaux de génie,52.0
2019,Territoires du Nord-Ouest,Travaux de génie,59.0
2007,Territoires du Nord-Ouest,Manufacturing,
2008,Territoires du Nord-Ouest,Manufacturing,
2009,Territoires du Nord-Ouest,Manufacturing,
2010,Territoires du Nord-Ouest,Manufacturing,
2011,Territoires du Nord-Ouest,Manufacturing,
2012,Territoires du Nord-Ouest,Manufacturing,
2013,Territoires du Nord-Ouest,Manufacturing,
2014,Territoires du Nord-Ouest,Manufacturing,
2015,Territoires du Nord-Ouest,Manufacturing,
2016,Territoires du Nord-Ouest,Manufacturing,
2017,Territoires du Nord-Ouest,Manufacturing,
2018,Territoires du Nord-Ouest,Manufacturing,
2019,Territoires du Nord-Ouest,Manufacturing,
2007,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",
2008,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",
2009,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",
2010,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",
2011,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",
2012,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",27.0
2013,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",28.0
2014,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",43.0
2015,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",57.0
2016,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",50.0
2017,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",27.0
2018,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",38.0
2019,Territoires du Nord-Ouest,"Services professionnels, scientifiques et techniques",40.0
2007,Territoires du Nord-Ouest,Autres industries,
2008,Territoires du Nord-Ouest,Autres industries,
2009,Territoires du Nord-Ouest,Autres industries,
2010,Territoires du Nord-Ouest,Autres industries,
2011,Territoires du Nord-Ouest,Autres industries,
2012,Territoires du Nord-Ouest,Autres industries,52.0
2013,Territoires du Nord-Ouest,Autres industries,63.0
2014,Territoires du Nord-Ouest,Autres industries,65.0
2015,Territoires du Nord-Ouest,Autres industries,87.0
2016,Territoires du Nord-Ouest,Autres industries,92.0
2017,Territoires du Nord-Ouest,Autres industries,80.0
2018,Territoires du Nord-Ouest,Autres industries,82.0
2019,Territoires du Nord-Ouest,Autres industries,85.0
2007,Nunavut,"Total, toutes les industries de technologies propres",
2008,Nunavut,"Total, toutes les industries de technologies propres",
2009,Nunavut,"Total, toutes les industries de technologies propres",
2010,Nunavut,"Total, toutes les industries de technologies propres",
2011,Nunavut,"Total, toutes les industries de technologies propres",
2012,Nunavut,"Total, toutes les industries de technologies propres",82.0
2013,Nunavut,"Total, toutes les industries de technologies propres",67.0
2014,Nunavut,"Total, toutes les industries de technologies propres",189.0
2015,Nunavut,"Total, toutes les industries de technologies propres",74.0
2016,Nunavut,"Total, toutes les industries de technologies propres",129.0
2017,Nunavut,"Total, toutes les industries de technologies propres",83.0
2018,Nunavut,"Total, toutes les industries de technologies propres",104.0
2019,Nunavut,"Total, toutes les industries de technologies propres",85.0
2007,Nunavut,Travaux de génie,
2008,Nunavut,Travaux de génie,
2009,Nunavut,Travaux de génie,
2010,Nunavut,Travaux de génie,
2011,Nunavut,Travaux de génie,
2012,Nunavut,Travaux de génie,32.0
2013,Nunavut,Travaux de génie,14.0
2014,Nunavut,Travaux de génie,126.0
2015,Nunavut,Travaux de génie,13.0
2016,Nunavut,Travaux de génie,57.0
2017,Nunavut,Travaux de génie,15.0
2018,Nunavut,Travaux de génie,45.0
2019,Nunavut,Travaux de génie,22.0
2007,Nunavut,Manufacturing,
2008,Nunavut,Manufacturing,
2009,Nunavut,Manufacturing,
2010,Nunavut,Manufacturing,
2011,Nunavut,Manufacturing,
2012,Nunavut,Manufacturing,
2013,Nunavut,Manufacturing,
2014,Nunavut,Manufacturing,
2015,Nunavut,Manufacturing,
2016,Nunavut,Manufacturing,
2017,Nunavut,Manufacturing,
2018,Nunavut,Manufacturing,
2019,Nunavut,Manufacturing,
2007,Nunavut,"Services professionnels, scientifiques et techniques",
2008,Nunavut,"Services professionnels, scientifiques et techniques",
2009,Nunavut,"Services professionnels, scientifiques et techniques",
2010,Nunavut,"Services professionnels, scientifiques et techniques",
2011,Nunavut,"Services professionnels, scientifiques et techniques",
2012,Nunavut,"Services professionnels, scientifiques et techniques",9.0
2013,Nunavut,"Services professionnels, scientifiques et techniques",8.0
2014,Nunavut,"Services professionnels, scientifiques et techniques",13.0
2015,Nunavut,"Services professionnels, scientifiques et techniques",14.0
2016,Nunavut,"Services professionnels, scientifiques et techniques",17.0
2017,Nunavut,"Services professionnels, scientifiques et techniques",11.0
2018,Nunavut,"Services professionnels, scientifiques et techniques",
2019,Nunavut,"Services professionnels, scientifiques et techniques",
2007,Nunavut,Autres industries,
2008,Nunavut,Autres industries,
2009,Nunavut,Autres industries,
2010,Nunavut,Autres industries,
2011,Nunavut,Autres industries,
2012,Nunavut,Autres industries,41.0
2013,Nunavut,Autres industries,45.0
2014,Nunavut,Autres industries,50.0
2015,Nunavut,Autres industries,47.0
2016,Nunavut,Autres industries,55.0
2017,Nunavut,Autres industries,57.0
2018,Nunavut,Autres industries,59.0
2019,Nunavut,Autres industries,63.0
